FOV	paraxial height	real height	dist %
33.9	8.65E-01	7.90E-01	-8.68E+00
34	8.69E-01	7.93E-01	-8.74E+00
34.1	8.72E-01	7.95E-01	-8.80E+00
34.2	8.75E-01	7.98E-01	-8.86E+00
34.3	8.78E-01	8.00E-01	-8.92E+00
34.4	8.82E-01	8.03E-01	-8.98E+00
34.5	8.85E-01	8.05E-01	-9.03E+00
34.6	8.88E-01	8.08E-01	-9.09E+00
34.7	8.92E-01	8.10E-01	-9.15E+00
34.8	8.95E-01	8.13E-01	-9.21E+00
34.9	8.98E-01	8.15E-01	-9.27E+00
35	9.02E-01	8.18E-01	-9.33E+00
35.1	9.05E-01	8.20E-01	-9.40E+00
35.2	9.08E-01	8.23E-01	-9.46E+00
35.3	9.12E-01	8.25E-01	-9.52E+00
35.4	9.15E-01	8.27E-01	-9.58E+00
35.5	9.19E-01	8.30E-01	-9.64E+00
35.6	9.22E-01	8.32E-01	-9.70E+00
35.7	9.25E-01	8.35E-01	-9.76E+00
35.8	9.29E-01	8.37E-01	-9.83E+00
35.9	9.32E-01	8.40E-01	-9.89E+00
36	9.36E-01	8.42E-01	-9.95E+00
36.1	9.39E-01	8.45E-01	-1.00E+01
36.2	9.42E-01	8.48E-01	-1.01E+01
36.3	9.46E-01	8.50E-01	-1.01E+01
36.4	9.49E-01	8.53E-01	-1.02E+01
36.5	9.53E-01	8.55E-01	-1.03E+01
36.6	9.56E-01	8.58E-01	-1.03E+01
36.7	9.60E-01	8.60E-01	-1.04E+01
36.8	9.63E-01	8.63E-01	-1.05E+01
36.9	9.67E-01	8.65E-01	-1.05E+01
37	9.70E-01	8.68E-01	-1.06E+01
37.1	9.74E-01	8.70E-01	-1.07E+01
37.2	9.77E-01	8.73E-01	-1.07E+01
37.3	9.81E-01	8.75E-01	-1.08E+01
37.4	9.85E-01	8.78E-01	-1.09E+01
37.5	9.88E-01	8.80E-01	-1.09E+01
37.6	9.92E-01	8.83E-01	-1.10E+01
37.7	9.95E-01	8.85E-01	-1.11E+01
37.8	9.99E-01	8.88E-01	-1.11E+01
37.9	1.00E+00	8.90E-01	-1.12E+01
38	1.01E+00	8.93E-01	-1.13E+01
38.1	1.01E+00	8.95E-01	-1.13E+01
38.2	1.01E+00	8.98E-01	-1.14E+01
38.3	1.02E+00	9.00E-01	-1.15E+01
38.4	1.02E+00	9.03E-01	-1.15E+01
38.5	1.02E+00	9.06E-01	-1.16E+01
38.6	1.03E+00	9.08E-01	-1.17E+01
38.7	1.03E+00	9.11E-01	-1.17E+01
38.8	1.04E+00	9.13E-01	-1.18E+01
38.9	1.04E+00	9.16E-01	-1.19E+01
39	1.04E+00	9.18E-01	-1.19E+01
39.1	1.05E+00	9.21E-01	-1.20E+01
39.2	1.05E+00	9.23E-01	-1.21E+01
39.3	1.05E+00	9.26E-01	-1.22E+01
39.4	1.06E+00	9.28E-01	-1.22E+01
39.5	1.06E+00	9.31E-01	-1.23E+01
39.6	1.07E+00	9.34E-01	-1.24E+01
39.7	1.07E+00	9.36E-01	-1.24E+01
39.8	1.07E+00	9.39E-01	-1.25E+01
39.9	1.08E+00	9.41E-01	-1.26E+01
40	1.08E+00	9.44E-01	-1.27E+01
40.1	1.08E+00	9.46E-01	-1.27E+01
40.2	1.09E+00	9.49E-01	-1.28E+01
40.3	1.09E+00	9.51E-01	-1.29E+01
40.4	1.10E+00	9.54E-01	-1.30E+01
40.5	1.10E+00	9.57E-01	-1.30E+01
40.6	1.10E+00	9.59E-01	-1.31E+01
40.7	1.11E+00	9.62E-01	-1.32E+01
40.8	1.11E+00	9.64E-01	-1.33E+01
40.9	1.12E+00	9.67E-01	-1.33E+01
41	1.12E+00	9.69E-01	-1.34E+01
41.1	1.12E+00	9.72E-01	-1.35E+01
41.2	1.13E+00	9.75E-01	-1.36E+01
41.3	1.13E+00	9.77E-01	-1.36E+01
41.4	1.14E+00	9.80E-01	-1.37E+01
41.5	1.14E+00	9.82E-01	-1.38E+01
41.6	1.14E+00	9.85E-01	-1.39E+01
41.7	1.15E+00	9.87E-01	-1.39E+01
41.8	1.15E+00	9.90E-01	-1.40E+01
41.9	1.16E+00	9.93E-01	-1.41E+01
42	1.16E+00	9.95E-01	-1.42E+01
42.1	1.16E+00	9.98E-01	-1.42E+01
42.2	1.17E+00	1.00E+00	-1.43E+01
42.3	1.17E+00	1.00E+00	-1.44E+01
42.4	1.18E+00	1.01E+00	-1.45E+01
42.5	1.18E+00	1.01E+00	-1.46E+01
42.6	1.18E+00	1.01E+00	-1.46E+01
42.7	1.19E+00	1.01E+00	-1.47E+01
42.8	1.19E+00	1.02E+00	-1.48E+01
42.9	1.20E+00	1.02E+00	-1.49E+01
43	1.20E+00	1.02E+00	-1.50E+01
43.1	1.21E+00	1.02E+00	-1.50E+01
43.2	1.21E+00	1.03E+00	-1.51E+01
43.3	1.21E+00	1.03E+00	-1.52E+01
43.4	1.22E+00	1.03E+00	-1.53E+01
43.5	1.22E+00	1.03E+00	-1.54E+01
43.6	1.23E+00	1.04E+00	-1.54E+01
43.7	1.23E+00	1.04E+00	-1.55E+01
43.8	1.23E+00	1.04E+00	-1.56E+01
43.9	1.24E+00	1.04E+00	-1.57E+01
44	1.24E+00	1.05E+00	-1.58E+01
44.1	1.25E+00	1.05E+00	-1.59E+01
44.2	1.25E+00	1.05E+00	-1.59E+01
44.3	1.26E+00	1.06E+00	-1.60E+01
44.4	1.26E+00	1.06E+00	-1.61E+01
44.5	1.27E+00	1.06E+00	-1.62E+01
44.6	1.27E+00	1.06E+00	-1.63E+01
44.7	1.27E+00	1.07E+00	-1.64E+01
44.8	1.28E+00	1.07E+00	-1.65E+01
44.9	1.28E+00	1.07E+00	-1.65E+01
45	1.29E+00	1.07E+00	-1.66E+01
45.1	1.29E+00	1.08E+00	-1.67E+01
45.2	1.30E+00	1.08E+00	-1.68E+01
45.3	1.30E+00	1.08E+00	-1.69E+01
45.4	1.31E+00	1.08E+00	-1.70E+01
45.5	1.31E+00	1.09E+00	-1.71E+01
45.6	1.31E+00	1.09E+00	-1.71E+01
45.7	1.32E+00	1.09E+00	-1.72E+01
45.8	1.32E+00	1.09E+00	-1.73E+01
45.9	1.33E+00	1.10E+00	-1.74E+01
46	1.33E+00	1.10E+00	-1.75E+01
46.1	1.34E+00	1.10E+00	-1.76E+01
46.2	1.34E+00	1.11E+00	-1.77E+01
46.3	1.35E+00	1.11E+00	-1.78E+01
46.4	1.35E+00	1.11E+00	-1.79E+01
46.5	1.36E+00	1.11E+00	-1.80E+01
46.6	1.36E+00	1.12E+00	-1.80E+01
46.7	1.37E+00	1.12E+00	-1.81E+01
46.8	1.37E+00	1.12E+00	-1.82E+01
46.9	1.38E+00	1.12E+00	-1.83E+01
47	1.38E+00	1.13E+00	-1.84E+01
47.1	1.39E+00	1.13E+00	-1.85E+01
47.2	1.39E+00	1.13E+00	-1.86E+01
47.3	1.40E+00	1.13E+00	-1.87E+01
47.4	1.40E+00	1.14E+00	-1.88E+01
47.5	1.41E+00	1.14E+00	-1.89E+01
47.6	1.41E+00	1.14E+00	-1.90E+01
47.7	1.42E+00	1.15E+00	-1.91E+01
47.8	1.42E+00	1.15E+00	-1.92E+01
47.9	1.43E+00	1.15E+00	-1.92E+01
48	1.43E+00	1.15E+00	-1.93E+01
48.1	1.44E+00	1.16E+00	-1.94E+01
48.2	1.44E+00	1.16E+00	-1.95E+01
48.3	1.45E+00	1.16E+00	-1.96E+01
48.4	1.45E+00	1.16E+00	-1.97E+01
48.5	1.46E+00	1.17E+00	-1.98E+01
48.6	1.46E+00	1.17E+00	-1.99E+01
48.7	1.47E+00	1.17E+00	-2.00E+01
48.8	1.47E+00	1.18E+00	-2.01E+01
48.9	1.48E+00	1.18E+00	-2.02E+01
49	1.48E+00	1.18E+00	-2.03E+01
49.1	1.49E+00	1.18E+00	-2.04E+01
49.2	1.49E+00	1.19E+00	-2.05E+01
49.3	1.50E+00	1.19E+00	-2.06E+01
49.4	1.50E+00	1.19E+00	-2.07E+01
49.5	1.51E+00	1.19E+00	-2.08E+01
49.6	1.51E+00	1.20E+00	-2.09E+01
49.7	1.52E+00	1.20E+00	-2.10E+01
49.8	1.52E+00	1.20E+00	-2.11E+01
49.9	1.53E+00	1.21E+00	-2.12E+01
50	1.53E+00	1.21E+00	-2.13E+01
50.1	1.54E+00	1.21E+00	-2.14E+01
50.2	1.55E+00	1.21E+00	-2.15E+01
50.3	1.55E+00	1.22E+00	-2.16E+01
50.4	1.56E+00	1.22E+00	-2.17E+01
50.5	1.56E+00	1.22E+00	-2.18E+01
50.6	1.57E+00	1.22E+00	-2.19E+01
50.7	1.57E+00	1.23E+00	-2.20E+01
50.8	1.58E+00	1.23E+00	-2.21E+01
50.9	1.58E+00	1.23E+00	-2.22E+01
51	1.59E+00	1.24E+00	-2.23E+01
51.1	1.60E+00	1.24E+00	-2.24E+01
51.2	1.60E+00	1.24E+00	-2.25E+01
51.3	1.61E+00	1.24E+00	-2.26E+01
51.4	1.61E+00	1.25E+00	-2.27E+01
51.5	1.62E+00	1.25E+00	-2.29E+01
51.6	1.62E+00	1.25E+00	-2.30E+01
51.7	1.63E+00	1.25E+00	-2.31E+01
51.8	1.64E+00	1.26E+00	-2.32E+01
51.9	1.64E+00	1.26E+00	-2.33E+01
52	1.65E+00	1.26E+00	-2.34E+01
52.1	1.65E+00	1.27E+00	-2.35E+01
52.2	1.66E+00	1.27E+00	-2.36E+01
52.3	1.67E+00	1.27E+00	-2.37E+01
52.4	1.67E+00	1.27E+00	-2.38E+01
52.5	1.68E+00	1.28E+00	-2.39E+01
52.6	1.68E+00	1.28E+00	-2.40E+01
52.7	1.69E+00	1.28E+00	-2.41E+01
52.8	1.70E+00	1.29E+00	-2.43E+01
52.9	1.70E+00	1.29E+00	-2.44E+01
53	1.71E+00	1.29E+00	-2.45E+01
53.1	1.72E+00	1.29E+00	-2.46E+01
53.2	1.72E+00	1.30E+00	-2.47E+01
53.3	1.73E+00	1.30E+00	-2.48E+01
53.4	1.73E+00	1.30E+00	-2.49E+01
53.5	1.74E+00	1.30E+00	-2.50E+01
53.6	1.75E+00	1.31E+00	-2.52E+01
53.7	1.75E+00	1.31E+00	-2.53E+01
53.8	1.76E+00	1.31E+00	-2.54E+01
53.9	1.77E+00	1.32E+00	-2.55E+01
