Half FOV	Image Height(Y')	Optical Distortion(%)
36.1	0.85488500 	-7.7
36.2	0.85752700 	-7.8
36.3	0.86017000 	-7.8
36.4	0.86281600 	-7.9
36.5	0.86546300 	-7.9
36.6	0.86811200 	-8.0
36.7	0.87076400 	-8.0
36.8	0.87341700 	-8.1
36.9	0.87607200 	-8.1
37.0	0.87872900 	-8.2
37.1	0.88138800 	-8.3
37.2	0.88404900 	-8.3
37.3	0.88671200 	-8.4
37.4	0.88937600 	-8.4
37.5	0.89204300 	-8.5
37.6	0.89471200 	-8.5
37.7	0.89738200 	-8.6
37.8	0.90005500 	-8.7
37.9	0.90272900 	-8.7
38.0	0.90540500 	-8.8
38.1	0.90808400 	-8.8
38.2	0.91076400 	-8.9
38.3	0.91344600 	-8.9
38.4	0.91613000 	-9.0
38.5	0.91881600 	-9.1
38.6	0.92150400 	-9.1
38.7	0.92419300 	-9.2
38.8	0.92688500 	-9.2
38.9	0.92957800 	-9.3
39.0	0.93227400 	-9.4
39.1	0.93497100 	-9.4
39.2	0.93767100 	-9.5
39.3	0.94037200 	-9.6
39.4	0.94307500 	-9.6
39.5	0.94578000 	-9.7
39.6	0.94848700 	-9.7
39.7	0.95119600 	-9.8
39.8	0.95390600 	-9.9
39.9	0.95661900 	-9.9
40.0	0.95933300 	-10.0
40.1	0.96205000 	-10.1
40.2	0.96476800 	-10.1
40.3	0.96748800 	-10.2
40.4	0.97021000 	-10.3
40.5	0.97293400 	-10.3
40.6	0.97566000 	-10.4
40.7	0.97838800 	-10.5
40.8	0.98111700 	-10.5
40.9	0.98384900 	-10.6
41.0	0.98658200 	-10.7
41.1	0.98931700 	-10.7
41.2	0.99205400 	-10.8
41.3	0.99479300 	-10.9
41.4	0.99753400 	-10.9
41.5	1.00027700 	-11.0
41.6	1.00302100 	-11.1
41.7	1.00576700 	-11.1
41.8	1.00851600 	-11.2
41.9	1.01126600 	-11.3
42.0	1.01401800 	-11.3
42.1	1.01677100 	-11.4
42.2	1.01952700 	-11.5
42.3	1.02228400 	-11.6
42.4	1.02504300 	-11.6
42.5	1.02780500 	-11.7
42.6	1.03056700 	-11.8
42.7	1.03333200 	-11.8
42.8	1.03609900 	-11.9
42.9	1.03886700 	-12.0
43.0	1.04163700 	-12.1
43.1	1.04440900 	-12.1
43.2	1.04718300 	-12.2
43.3	1.04995800 	-12.3
43.4	1.05273600 	-12.4
43.5	1.05551500 	-12.4
43.6	1.05829600 	-12.5
43.7	1.06107800 	-12.6
43.8	1.06386300 	-12.7
43.9	1.06664900 	-12.7
44.0	1.06943700 	-12.8
44.1	1.07222700 	-12.9
44.2	1.07501900 	-13.0
44.3	1.07781200 	-13.1
44.4	1.08060700 	-13.1
44.5	1.08340400 	-13.2
44.6	1.08620200 	-13.3
44.7	1.08900300 	-13.4
44.8	1.09180500 	-13.4
44.9	1.09460800 	-13.5
45.0	1.09741400 	-13.6
45.1	1.10022100 	-13.7
45.2	1.10303000 	-13.8
45.3	1.10584100 	-13.9
45.4	1.10865300 	-13.9
45.5	1.11146700 	-14.0
45.6	1.11428300 	-14.1
45.7	1.11710000 	-14.2
45.8	1.11991900 	-14.3
45.9	1.12274000 	-14.3
46.0	1.12556300 	-14.4
46.1	1.12838700 	-14.5
46.2	1.13121300 	-14.6
46.3	1.13404000 	-14.7
46.4	1.13686900 	-14.8
46.5	1.13970000 	-14.9
46.6	1.14253300 	-14.9
46.7	1.14536700 	-15.0
46.8	1.14820300 	-15.1
46.9	1.15104000 	-15.2
47.0	1.15387900 	-15.3
47.1	1.15672000 	-15.4
47.2	1.15956200 	-15.5
47.3	1.16240600 	-15.6
47.4	1.16525100 	-15.6
47.5	1.16809800 	-15.7
47.6	1.17094700 	-15.8
47.7	1.17379700 	-15.9
47.8	1.17664900 	-16.0
47.9	1.17950200 	-16.1
48.0	1.18235700 	-16.2
48.1	1.18521400 	-16.3
48.2	1.18807200 	-16.4
48.3	1.19093100 	-16.5
48.4	1.19379200 	-16.6
48.5	1.19665500 	-16.7
48.6	1.19951900 	-16.7
48.7	1.20238500 	-16.8
48.8	1.20525200 	-16.9
48.9	1.20812100 	-17.0
49.0	1.21099200 	-17.1
49.1	1.21386300 	-17.2
49.2	1.21673700 	-17.3
49.3	1.21961200 	-17.4
49.4	1.22248800 	-17.5
49.5	1.22536600 	-17.6
49.6	1.22824500 	-17.7
49.7	1.23112600 	-17.8
49.8	1.23400800 	-17.9
49.9	1.23689200 	-18.0
50.0	1.23977700 	-18.1
50.1	1.24266300 	-18.2
50.2	1.24555100 	-18.3
50.3	1.24844100 	-18.4
50.4	1.25133200 	-18.5
50.5	1.25422400 	-18.6
50.6	1.25711800 	-18.7
50.7	1.26001300 	-18.8
50.8	1.26290900 	-18.9
50.9	1.26580700 	-19.0
51.0	1.26870600 	-19.1
51.1	1.27160700 	-19.2
51.2	1.27450900 	-19.3
51.3	1.27741300 	-19.4
51.4	1.28031700 	-19.5
51.5	1.28322300 	-19.6
51.6	1.28613100 	-19.8
